,,,,,,,,,,,,,,
County Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Adair,"7,679","7,546","7,468","7,387","7,368","7,145","7,005","7,051","7,074","7,152","7,493","7,524","7,457","7,389"
Adams,"4,023","3,994","3,910","3,891","3,877","3,754","3,692","3,657","3,644","3,602","3,709","3,638","3,601","3,544"
Allamakee,"14,378","14,222","14,149","14,071","14,062","13,874","13,851","13,803","13,852","13,687","14,071","13,968","14,018","14,074"
Appanoose,"12,856","12,848","12,707","12,654","12,671","12,577","12,505","12,353","12,401","12,426","12,287","12,269","12,141","12,119"
Audubon,"6,098","6,004","5,865","5,863","5,771","5,711","5,626","5,550","5,471","5,496","5,683","5,645","5,575","5,534"
Benton,"26,046","26,078","25,830","25,699","25,623","25,608","25,644","25,656","25,625","25,645","25,549","25,738","25,742","25,796"
Black Hawk,"131,162","131,584","131,878","132,933","133,390","133,701","133,077","132,238","131,723","131,228","131,044","130,576","130,052","130,471"
Boone,"26,271","26,288","26,136","26,284","26,290","26,443","26,416","26,443","26,312","26,234","26,698","26,761","26,579","26,590"
Bremer,"24,295","24,381","24,496","24,579","24,670","24,746","24,747","24,823","24,941","25,062","25,011","25,118","25,254","25,307"
Buchanan,"20,974","20,911","20,994","21,026","21,131","21,105","21,007","21,126","21,178","21,175","20,605","20,703","20,689","20,691"
Buena Vista,"20,356","20,311","20,561","20,649","20,606","20,374","20,325","20,144","19,826","19,620","20,806","20,790","20,644","20,567"
Butler,"14,916","14,966","14,971","14,975","14,959","14,881","14,702","14,592","14,525","14,439","14,333","14,348","14,246","14,172"
Calhoun,"10,160","10,064","9,913","9,898","9,845","9,801","9,811","9,729","9,711","9,668","9,900","9,895","9,725","9,763"
Carroll,"20,824","20,860","20,654","20,541","20,499","20,423","20,388","20,274","20,153","20,165","20,726","20,740","20,541","20,522"
Cass,"13,928","13,765","13,700","13,572","13,395","13,351","13,176","13,144","12,948","12,836","13,123","13,089","13,137","13,130"
Cedar,"18,450","18,358","18,296","18,226","18,276","18,254","18,348","18,490","18,564","18,627","18,495","18,436","18,353","18,302"
Cerro Gordo,"44,097","43,971","43,699","43,528","43,206","42,983","43,096","42,999","42,642","42,450","43,022","42,761","42,426","42,406"
Cherokee,"12,110","12,024","11,951","11,874","11,801","11,483","11,394","11,307","11,295","11,235","11,656","11,535","11,490","11,605"
Chickasaw,"12,410","12,405","12,287","12,274","12,252","12,151","12,094","12,002","11,952","11,933","11,988","11,883","11,728","11,658"
Clarke,"9,320","9,317","9,341","9,245","9,196","9,219","9,288","9,396","9,502","9,395","9,737","9,756","9,643","9,588"
Clay,"16,634","16,597","16,539","16,438","16,484","16,498","16,295","16,141","16,106","16,016","16,336","16,454","16,507","16,511"
Clayton,"18,080","18,017","17,946","17,793","17,768","17,726","17,661","17,648","17,540","17,549","17,033","17,053","17,057","16,969"
Clinton,"49,096","49,102","48,701","48,281","47,895","47,558","47,248","46,874","46,437","46,429","46,427","46,483","46,255","46,158"
Crawford,"17,170","17,217","17,299","17,360","17,168","17,082","17,103","17,076","17,089","16,820","16,484","16,232","16,129","16,013"
Dallas,"66,750","69,696","72,235","74,949","77,739","80,631","84,248","87,208","89,953","93,453","100,536","104,174","108,146","111,092"
Davis,"8,776","8,771","8,707","8,769","8,756","8,777","8,884","8,969","8,972","9,000","9,111","9,150","9,147","9,169"
Decatur,"8,418","8,249","8,239","8,216","8,209","8,137","8,053","7,947","7,890","7,870","7,606","7,668","7,695","7,665"
Delaware,"17,764","17,632","17,567","17,473","17,395","17,393","17,288","17,143","17,081","17,011","17,458","17,553","17,607","17,600"
Des Moines,"40,241","40,066","40,229","40,395","40,096","39,874","39,613","39,326","39,149","38,967","38,823","38,506","38,242","38,253"
Dickinson,"16,670","16,859","16,925","16,878","16,840","17,004","17,109","17,141","17,121","17,258","17,767","17,868","18,048","18,056"
Dubuque,"93,929","94,593","95,159","95,945","96,481","96,850","96,763","97,066","96,922","97,311","99,308","98,854","98,715","98,887"
Emmet,"10,276","10,089","9,944","9,880","9,821","9,702","9,581","9,422","9,277","9,208","9,347","9,334","9,214","9,229"
Fayette,"20,860","20,976","20,774","20,519","20,290","20,142","19,858","19,687","19,679","19,650","19,445","19,295","19,266","19,210"
Floyd,"16,309","16,095","16,087","16,023","15,999","15,910","15,857","15,767","15,752","15,642","15,604","15,465","15,348","15,326"
Franklin,"10,706","10,693","10,509","10,507","10,433","10,319","10,177","10,160","10,085","10,070","10,002","9,952","9,946","9,875"
Fremont,"7,434","7,371","7,141","7,069","7,030","6,912","6,947","6,930","6,981","6,960","6,566","6,583","6,475","6,458"
Greene,"9,362","9,332","9,181","9,159","9,124","8,944","9,001","8,954","8,965","8,888","8,752","8,724","8,710","8,584"
Grundy,"12,463","12,478","12,437","12,341","12,390","12,405","12,286","12,298","12,272","12,232","12,333","12,358","12,355","12,384"
Guthrie,"10,937","10,859","10,762","10,671","10,686","10,649","10,642","10,645","10,720","10,689","10,612","10,588","10,681","10,722"
Hamilton,"15,633","15,467","15,321","15,343","15,217","15,218","15,075","15,032","14,886","14,773","15,008","14,863","14,803","14,729"
Hancock,"11,297","11,292","11,175","11,131","11,040","11,028","10,887","10,756","10,710","10,630","10,754","10,680","10,651","10,615"
Hardin,"17,543","17,375","17,359","17,388","17,332","17,253","17,196","17,073","16,937","16,846","16,828","16,702","16,614","16,463"
Harrison,"14,909","14,764","14,475","14,357","14,265","14,139","14,046","14,107","14,105","14,049","14,569","14,690","14,680","14,670"
Henry,"20,106","20,243","19,992","20,021","19,834","19,843","19,833","20,044","20,033","19,954","20,447","20,382","20,253","19,547"
Howard,"9,568","9,546","9,548","9,439","9,353","9,313","9,257","9,229","9,172","9,158","9,489","9,496","9,509","9,376"
Humboldt,"9,792","9,782","9,723","9,677","9,636","9,556","9,530","9,569","9,559","9,558","9,599","9,630","9,521","9,500"
Ida,"7,066","7,046","7,044","7,074","6,971","6,968","6,961","6,869","6,846","6,860","7,022","6,969","6,905","6,833"
Iowa,"16,335","16,323","16,180","16,281","16,317","16,282","16,192","16,133","16,155","16,184","16,658","16,586","16,497","16,381"
Jackson,"19,830","19,734","19,685","19,517","19,431","19,366","19,393","19,382","19,427","19,439","19,455","19,399","19,346","19,342"
Jasper,"36,812","36,622","36,574","36,728","36,886","36,750","36,736","36,995","37,189","37,185","37,810","37,874","37,949","37,919"
Jefferson,"16,837","17,096","17,278","17,629","17,793","17,906","18,063","18,219","18,256","18,295","15,694","15,781","15,668","15,440"
Johnson,"131,337","134,086","137,103","140,151","142,730","144,943","146,928","149,325","150,549","151,140","153,056","155,035","156,915","157,528"
Jones,"20,689","20,743","20,601","20,519","20,548","20,433","20,392","20,618","20,673","20,681","20,653","20,826","20,949","20,900"
Keokuk,"10,508","10,398","10,427","10,337","10,283","10,171","10,170","10,141","10,213","10,246","10,004","9,902","9,883","9,914"
Kossuth,"15,525","15,400","15,413","15,332","15,229","15,158","15,104","14,939","14,878","14,813","14,799","14,515","14,465","14,396"
Lee,"35,849","35,569","35,541","35,236","35,059","34,894","34,458","34,216","33,909","33,657","33,533","33,257","32,829","32,565"
Linn,"211,705","214,207","215,485","216,488","218,129","220,271","222,188","224,379","225,763","226,706","230,419","229,445","228,940","228,972"
Louisa,"11,382","11,381","11,360","11,348","11,250","11,285","11,221","11,195","11,153","11,035","10,814","10,724","10,617","10,513"
Lucas,"8,898","8,880","8,778","8,697","8,636","8,610","8,555","8,533","8,617","8,600","8,618","8,706","8,702","8,747"
Lyon,"11,567","11,692","11,757","11,695","11,703","11,747","11,780","11,785","11,815","11,755","11,930","12,040","12,177","12,324"
Madison,"15,739","15,740","15,641","15,483","15,616","15,720","15,796","16,000","16,206","16,338","16,629","16,793","17,040","16,971"
Mahaska,"22,408","22,501","22,398","22,421","22,363","22,312","22,186","22,211","22,018","22,095","22,160","21,974","21,971","21,874"
Marion,"33,225","33,270","33,274","33,014","33,269","33,109","33,146","33,091","33,259","33,253","33,414","33,441","33,630","33,770"
Marshall,"40,722","41,013","41,032","40,995","40,722","40,352","40,135","40,078","39,888","39,369","40,096","39,913","39,821","40,014"
Mills,"15,076","15,029","14,873","14,905","14,760","14,882","15,053","15,060","15,068","15,109","14,398","14,467","14,535","14,633"
Mitchell,"10,793","10,709","10,716","10,669","10,700","10,676","10,644","10,563","10,571","10,586","10,597","10,563","10,544","10,518"
Monona,"9,248","9,238","9,091","9,032","8,899","8,866","8,786","8,724","8,659","8,615","8,742","8,598","8,506","8,493"
Monroe,"7,997","8,060","8,073","7,979","7,958","7,924","7,836","7,798","7,768","7,707","7,593","7,581","7,530","7,504"
Montgomery,"10,690","10,632","10,540","10,404","10,384","10,149","10,124","10,112","9,961","9,917","10,333","10,316","10,210","10,139"
Muscatine,"42,803","42,842","42,916","43,010","43,028","43,068","42,968","42,872","42,874","42,664","43,143","42,674","42,395","42,218"
O'Brien,"14,408","14,218","14,156","14,045","14,042","13,926","13,926","13,774","13,798","13,753","14,150","14,044","14,085","14,012"
Osceola,"6,459","6,316","6,204","6,236","6,231","6,160","6,095","6,021","6,028","5,958","6,198","6,170","6,072","5,978"
Page,"15,921","15,898","15,702","15,516","15,483","15,462","15,329","15,213","15,229","15,107","15,190","15,220","15,176","15,014"
Palo Alto,"9,398","9,354","9,279","9,164","9,120","9,140","9,034","9,052","8,903","8,886","8,986","8,923","8,790","8,810"
Plymouth,"24,975","24,818","24,830","24,931","24,911","24,899","25,180","25,060","25,024","25,177","25,692","25,731","25,722","25,722"
Pocahontas,"7,289","7,204","7,143","7,112","7,097","6,967","6,854","6,833","6,714","6,619","7,065","7,039","7,073","6,976"
Polk,"432,352","438,737","444,671","452,657","460,898","467,304","474,277","480,487","485,833","490,161","493,022","497,842","501,184","505,255"
Pottawattamie,"93,363","93,498","92,916","92,855","93,258","93,563","93,518","93,416","93,264","93,206","93,669","93,410","93,065","93,179"
Poweshiek,"18,925","18,896","18,728","18,606","18,608","18,358","18,279","18,334","18,467","18,504","18,631","18,624","18,518","18,453"
Ringgold,"5,113","5,049","5,027","4,971","4,961","4,977","4,985","5,024","4,940","4,894","4,639","4,632","4,688","4,642"
Sac,"10,354","10,222","10,161","10,030","10,048","9,966","9,816","9,803","9,705","9,721","9,799","9,768","9,689","9,686"
Scott,"165,272","166,629","168,347","170,201","171,310","171,903","172,135","172,448","172,803","172,943","174,609","174,225","173,751","174,270"
Shelby,"12,174","11,992","12,024","11,899","11,878","11,789","11,655","11,574","11,559","11,454","11,735","11,780","11,711","11,806"
Sioux,"33,754","34,016","34,282","34,503","34,635","34,754","34,944","34,781","34,802","34,855","35,885","35,959","36,127","36,246"
Story,"89,654","91,136","92,003","93,877","95,802","96,636","96,893","97,278","96,781","97,117","98,649","99,679","98,257","98,566"
Tama,"17,719","17,614","17,501","17,430","17,309","17,217","17,192","17,029","16,869","16,854","17,081","16,898","16,943","16,833"
Taylor,"6,322","6,304","6,260","6,233","6,175","6,246","6,213","6,095","6,160","6,121","5,862","5,866","5,875","5,924"
Union,"12,513","12,556","12,586","12,616","12,627","12,430","12,360","12,459","12,298","12,241","12,132","12,049","11,903","11,906"
Van Buren,"7,577","7,513","7,449","7,434","7,390","7,296","7,241","7,155","7,013","7,044","7,222","7,258","7,252","7,266"
Wapello,"35,682","35,486","35,431","35,507","35,426","35,456","35,265","35,022","34,991","34,969","35,326","35,295","35,081","35,166"
Warren,"46,340","46,645","46,895","47,358","47,827","48,468","49,356","50,078","51,014","51,466","52,591","53,485","54,303","55,205"
Washington,"21,688","21,822","21,903","21,944","22,029","22,145","22,126","22,204","22,058","21,965","22,542","22,522","22,542","22,560"
Wayne,"6,419","6,337","6,329","6,385","6,376","6,359","6,447","6,492","6,405","6,441","6,512","6,531","6,490","6,557"
Webster,"37,879","37,745","37,323","37,327","37,069","37,066","36,781","36,637","36,339","35,904","36,996","37,170","36,652","36,485"
Winnebago,"10,846","10,696","10,602","10,430","10,556","10,603","10,602","10,573","10,539","10,354","10,662","10,661","10,639","10,571"
Winneshiek,"21,076","21,051","21,041","20,840","20,696","20,745","20,427","20,129","20,017","19,991","20,045","19,935","19,902","19,815"
Woodbury,"102,388","102,720","102,321","102,284","102,292","102,492","102,686","102,132","102,515","103,107","105,912","105,749","105,558","105,951"
Worth,"7,583","7,561","7,496","7,489","7,557","7,503","7,471","7,455","7,413","7,381","7,436","7,377","7,311","7,297"
Wright,"13,185","13,034","13,020","12,982","12,906","12,841","12,839","12,765","12,690","12,562","12,916","12,813","12,695","12,656"